PDF,RelativePath,Status,TotalPages,PagesCreated,PagesSkipped,PagesFailed,DPI,JPEGQuality,Seconds,Error
5CNDN8TH__Eller - 2020 - Ron English “POPaganda On Paper” A Virtual Exhibition Interview & Preview(4).pdf,5CNDN8TH__Eller - 2020 - Ron English “POPaganda On Paper” A Virtual Exhibition Interview & Preview(4).pdf,Completed,7,7,0,0,200,90,1.63,
5DE5V5RE__2021 - Favorite Artist Mine is Ron English!.pdf,5DE5V5RE__2021 - Favorite Artist Mine is Ron English!.pdf,Completed,5,5,0,0,200,90,1.3,
5DW4NNV2___.pdf,5DW4NNV2___.pdf,Completed,4,4,0,0,200,90,1.82,
5EH9TASJ__Theodore - 2007 - The art of English - Pop artist gives and 'English' lesson.pdf,5EH9TASJ__Theodore - 2007 - The art of English - Pop artist gives and 'English' lesson.pdf,Completed,2,2,0,0,200,90,1.27,
5F73EB48__Corey Helford Gallery - 2008 - Ron English.pdf,5F73EB48__Corey Helford Gallery - 2008 - Ron English.pdf,Completed,1,1,0,0,200,90,0.18,
5FXBNTFQ__Watkins - 1997 - Satiric look at religious images.pdf,5FXBNTFQ__Watkins - 1997 - Satiric look at religious images.pdf,Completed,1,1,0,0,200,90,1.34,
5GLB38IA__Welzenbach - 1992 - Who Framed Walt Disney.pdf,5GLB38IA__Welzenbach - 1992 - Who Framed Walt Disney.pdf,Completed,1,1,0,0,200,90,0.55,
5IATQ59J___.pdf,5IATQ59J___.pdf,Completed,3,3,0,0,200,90,2.13,
5JEXKS5Q__Ron Kretsch - 2017 - Popaganda New Work By Pop-Art Provocateur Ron English.pdf,5JEXKS5Q__Ron Kretsch - 2017 - Popaganda New Work By Pop-Art Provocateur Ron English.pdf,Completed,4,4,0,0,200,90,0.98,
5JFQI9DN___.pdf,5JFQI9DN___.pdf,Completed,1,1,0,0,200,90,0.24,
5JHEL6PF__Rushmore - 2011 - Preview of The Underbelly Show (and NEW LOCATION).pdf,5JHEL6PF__Rushmore - 2011 - Preview of The Underbelly Show (and NEW LOCATION).pdf,Completed,2,2,0,0,200,90,0.54,
5JUIY2I3__Fahsbender - 2011 - Ron English remix.pdf,5JUIY2I3__Fahsbender - 2011 - Ron English remix.pdf,Completed,3,3,0,0,200,90,1.48,
5KIZWU7T__Frank - 1960 - HuffPost Arts Interviews Ron English.pdf,5KIZWU7T__Frank - 1960 - HuffPost Arts Interviews Ron English.pdf,Completed,12,12,0,0,200,90,3.06,
5KN7WJDZ___.pdf,5KN7WJDZ___.pdf,Completed,2,2,0,0,200,90,1.54,
5M8S4IFT__Kim - 2013 - Street Fighter Art Show Tribute.pdf,5M8S4IFT__Kim - 2013 - Street Fighter Art Show Tribute.pdf,Completed,1,1,0,0,200,90,0.26,
5MCVESBW__Kim - 2009 - New Works by Ron English (7 paintings).pdf,5MCVESBW__Kim - 2009 - New Works by Ron English (7 paintings).pdf,Completed,4,4,0,0,200,90,0.95,
"5PBK4H8K__Ukstreetart @ukstreetart - 2008 - Visual Arts at Shangri-La, Glastonbury Festival with Ron English, Mark Jenkins, OBEY.pdf","5PBK4H8K__Ukstreetart @ukstreetart - 2008 - Visual Arts at Shangri-La, Glastonbury Festival with Ron English, Mark Jenkins, OBEY.pdf",Completed,1,1,0,0,200,90,0.25,
5PC2QPGL__Finijo - 2019 - Bricolage.pdf,5PC2QPGL__Finijo - 2019 - Bricolage.pdf,Completed,1,1,0,0,200,90,0.21,
5RLH4NTN___.pdf,5RLH4NTN___.pdf,Completed,36,36,0,0,200,90,10.34,
5SVTJEA4__Tutor - 2016 - Ron English’s “NEONATURE” at Corey Helford Gallery.pdf,5SVTJEA4__Tutor - 2016 - Ron English’s “NEONATURE” at Corey Helford Gallery.pdf,Completed,2,2,0,0,200,90,0.56,
5T33L99U___.pdf,5T33L99U___.pdf,Completed,2,2,0,0,200,90,0.91,
5T8JC83T__SNIC Blog - 2007 - Big Picture Pop by Ron English.pdf,5T8JC83T__SNIC Blog - 2007 - Big Picture Pop by Ron English.pdf,Completed,1,1,0,0,200,90,0.44,
5TG2WWI9__Resep Ku Ini - 2013 - Ron English Popagandastan The Hundreds.pdf,5TG2WWI9__Resep Ku Ini - 2013 - Ron English Popagandastan The Hundreds.pdf,Completed,2,2,0,0,200,90,0.51,
5TNB34WJ___.pdf,5TNB34WJ___.pdf,Completed,4,4,0,0,200,90,1.05,
"5UGRTNEF__Zhen - 2020 - Bense Art Space exhibits works by Ron English, Murakami, Futura.pdf","5UGRTNEF__Zhen - 2020 - Bense Art Space exhibits works by Ron English, Murakami, Futura.pdf",Completed,2,2,0,0,200,90,0.46,
5V7KCF9X__Bambic - 2014 - Why Ron English Paints Guernica.pdf,5V7KCF9X__Bambic - 2014 - Why Ron English Paints Guernica.pdf,Completed,5,5,0,0,200,90,1.36,
5VA4I5NQ__Eisinger - 2013 - Ron English Debuts New Solo Show In California.pdf,5VA4I5NQ__Eisinger - 2013 - Ron English Debuts New Solo Show In California.pdf,Completed,1,1,0,0,200,90,0.25,
5Z7KKHXS__Sleepboy - 2018 - Showing Ron English – “Delusionville” @ Allouche Gallery.pdf,5Z7KKHXS__Sleepboy - 2018 - Showing Ron English – “Delusionville” @ Allouche Gallery.pdf,Completed,5,5,0,0,200,90,1.61,
626BRZVG__English - 1974 - Comic - Lakeview High School.pdf,626BRZVG__English - 1974 - Comic - Lakeview High School.pdf,Completed,1,1,0,0,200,90,0.1,
634J347W___.pdf,634J347W___.pdf,Completed,4,4,0,0,200,90,1.89,
64L2PZHI__Zephyr - 1998 - Article by Zephyr – Ron English Interview.pdf,64L2PZHI__Zephyr - 1998 - Article by Zephyr – Ron English Interview.pdf,Completed,3,3,0,0,200,90,1.37,
"664USPSW__Juxtapoz - 2013 - Preview RON ENGLISH POPAGANDASTAN @ COREY HELFORD GALLERY, Culver City.pdf","664USPSW__Juxtapoz - 2013 - Preview RON ENGLISH POPAGANDASTAN @ COREY HELFORD GALLERY, Culver City.pdf",Completed,6,6,0,0,200,90,1.76,
66X8MTH5___.pdf,66X8MTH5___.pdf,Completed,3,3,0,0,200,90,1.87,
676I9YQV__The Gallery & Studio Team - 2001 - Putting Some English on Pop.pdf,676I9YQV__The Gallery & Studio Team - 2001 - Putting Some English on Pop.pdf,Completed,2,2,0,0,200,90,1.03,
67AMBWIY__Beale - 2010 - Photos Status Factory by Ron English at Opera Gallery New York(2).pdf,67AMBWIY__Beale - 2010 - Photos Status Factory by Ron English at Opera Gallery New York(2).pdf,Completed,7,7,0,0,200,90,1.85,
68VYQL26__Greicius - 2009 - The Rumpus Long Interview With Ron English.pdf,68VYQL26__Greicius - 2009 - The Rumpus Long Interview With Ron English.pdf,Completed,7,7,0,0,200,90,1.52,
69H8K7I9__Westall - 2012 - Preview Letters From America At Black Rat Projects Curated By Corey Helford Gallery.pdf,69H8K7I9__Westall - 2012 - Preview Letters From America At Black Rat Projects Curated By Corey Helford Gallery.pdf,Completed,3,3,0,0,200,90,0.7,
6CY23ETI__Red Truck Gallery - 2019 - Mojo Voodoo & Heavy Metal Muzick Ron English Brings Some Pop to New Orleans.pdf,6CY23ETI__Red Truck Gallery - 2019 - Mojo Voodoo & Heavy Metal Muzick Ron English Brings Some Pop to New Orleans.pdf,Completed,3,3,0,0,200,90,0.81,
6DR7S6YF___.pdf,6DR7S6YF___.pdf,Completed,1,1,0,0,200,90,0.21,
6E967E4J__Review - Unknown - Review.pdf,6E967E4J__Review - Unknown - Review.pdf,Completed,1,1,0,0,200,90,0.39,
6G9P8FNL__On the Wall - 2017 - Ron english.pdf,6G9P8FNL__On the Wall - 2017 - Ron english.pdf,Completed,5,5,0,0,200,90,1.17,
6GVPLFGX__Mutant - 1991 - Applying ENGLISH to POP ART.pdf,6GVPLFGX__Mutant - 1991 - Applying ENGLISH to POP ART.pdf,Completed,2,2,0,0,200,90,0.77,
6IRH3DL5__Juxtapoz - 2017 - Ron English Stops In Hong Kong On His East meets west Asia Tour.pdf,6IRH3DL5__Juxtapoz - 2017 - Ron English Stops In Hong Kong On His East meets west Asia Tour.pdf,Completed,4,4,0,0,200,90,1.18,
6JLNFCUB__Rushmore - 2011 - Anonymous Gallery at Wooster Street Social Club.pdf,6JLNFCUB__Rushmore - 2011 - Anonymous Gallery at Wooster Street Social Club.pdf,Completed,1,1,0,0,200,90,0.25,
6K3IBNVM__Petrick - 2005 - Who owns Barbie Copiright owners and artists disagree.pdf,6K3IBNVM__Petrick - 2005 - Who owns Barbie Copiright owners and artists disagree.pdf,Completed,1,1,0,0,200,90,0.2,
6KPKGVKU__Hypebeast - 2009 - Grin by Ron English Exhibition.pdf,6KPKGVKU__Hypebeast - 2009 - Grin by Ron English Exhibition.pdf,Completed,1,1,0,0,200,90,0.19,
6KZ4K9K8__Hart - 2014 - Marlboro Boy And Fat Ronald The Brand-Jamming Art Of Ron English.pdf,6KZ4K9K8__Hart - 2014 - Marlboro Boy And Fat Ronald The Brand-Jamming Art Of Ron English.pdf,Completed,5,5,0,0,200,90,1.3,
6L3MDXRF___.pdf,6L3MDXRF___.pdf,Completed,3,3,0,0,200,90,2.02,
6LRAXSRU__Palm Beach Daily News - 1993 - Exhibit.pdf,6LRAXSRU__Palm Beach Daily News - 1993 - Exhibit.pdf,Completed,1,1,0,0,200,90,0.14,
6LV5N7FG__Garcia - 2009 - Artist Brings 'Abraham Obama' to Seoul.pdf,6LV5N7FG__Garcia - 2009 - Artist Brings 'Abraham Obama' to Seoul.pdf,Completed,3,3,0,0,200,90,0.6,
"6NZETSFV__New York Times aug 4, 1996 Pop Art Stendhal Gallery.pdf","6NZETSFV__New York Times aug 4, 1996 Pop Art Stendhal Gallery.pdf",Completed,1,1,0,0,200,90,0.3,
6PQ3CFKP___.pdf,6PQ3CFKP___.pdf,Completed,3,3,0,0,200,90,1.22,
6QJ8X94R___.pdf,6QJ8X94R___.pdf,Completed,2,2,0,0,200,90,0.85,
"6R94NYHF__Cartwheel Art - 2013 - Miami 2013 At Mana Wynwood, Flaunt Magazine’s “Affordable Care,” Ron English.pdf","6R94NYHF__Cartwheel Art - 2013 - Miami 2013 At Mana Wynwood, Flaunt Magazine’s “Affordable Care,” Ron English.pdf",Completed,1,1,0,0,200,90,0.27,
6RFVYBCK__Gallery - 2021 - Ron English Brand Royalty(2).pdf,6RFVYBCK__Gallery - 2021 - Ron English Brand Royalty(2).pdf,Completed,13,13,0,0,200,90,2.59,
6RIB3REH__Financial Review - 2015 - Street artist Ron English confronts death and the eternal(2).pdf,6RIB3REH__Financial Review - 2015 - Street artist Ron English confronts death and the eternal(2).pdf,Completed,2,2,0,0,200,90,0.47,
6RSGPKRF__Arrested Motion - 2010 - Openings Ron English – “Status Factory” @ Opera Gallery.pdf,6RSGPKRF__Arrested Motion - 2010 - Openings Ron English – “Status Factory” @ Opera Gallery.pdf,Completed,6,6,0,0,200,90,1.67,
6T759FKX___.pdf,6T759FKX___.pdf,Completed,1,1,0,0,200,90,0.36,
6TAMDV3I__Juxtapoz - 1999 - Revelations Book II - The Story of the Millennium Messiah.pdf,6TAMDV3I__Juxtapoz - 1999 - Revelations Book II - The Story of the Millennium Messiah.pdf,Completed,2,2,0,0,200,90,1.63,
6TIP94ZF__Kordic - 2016 - The Art of Ron English.pdf,6TIP94ZF__Kordic - 2016 - The Art of Ron English.pdf,Completed,8,8,0,0,200,90,1.4,
6WETM8RY__Juxtapoz - 2013 - Juxtapoz Presents A Studio Visit with Ron English.pdf,6WETM8RY__Juxtapoz - 2013 - Juxtapoz Presents A Studio Visit with Ron English.pdf,Completed,6,6,0,0,200,90,1.78,
6WXYKYRW__Street Artist - 2011 - Print Release Ron English – Grade School Guernica.pdf,6WXYKYRW__Street Artist - 2011 - Print Release Ron English – Grade School Guernica.pdf,Completed,1,1,0,0,200,90,0.22,
6XSVTCLE___.pdf,6XSVTCLE___.pdf,Completed,1,1,0,0,200,90,0.74,
"6YBVZ8VM__Allouche Gallery - 2021 - Delusionville Paint Jam, 2021.pdf","6YBVZ8VM__Allouche Gallery - 2021 - Delusionville Paint Jam, 2021.pdf",Completed,13,13,0,0,200,90,2.32,
6YEF8CKH__Mufson - 2015 - Ron English s Incredible Hybrid Animals.pdf,6YEF8CKH__Mufson - 2015 - Ron English s Incredible Hybrid Animals.pdf,Completed,7,7,0,0,200,90,1.65,
"6YU8M3F9__Street Art EKB - 2011 - Граффити и стрит-арт. Дайджест за лето 2011 года. Часть 6. Мир. Новые выставки, экспозиции.pdf","6YU8M3F9__Street Art EKB - 2011 - Граффити и стрит-арт. Дайджест за лето 2011 года. Часть 6. Мир. Новые выставки, экспозиции.pdf",Completed,1,1,0,0,200,90,0.26,
6ZU384N5__Mural - 2018 - Interview with Ron English.pdf,6ZU384N5__Mural - 2018 - Interview with Ron English.pdf,Completed,7,7,0,0,200,90,1.79,
725D2HEX__Art Price - 1946 - Las obras de regadío en el sur - Copy.pdf,725D2HEX__Art Price - 1946 - Las obras de regadío en el sur - Copy.pdf,Completed,1,1,0,0,200,90,0.36,
74ZJWQDA__Hung - 2016 - Corpocracy.pdf,74ZJWQDA__Hung - 2016 - Corpocracy.pdf,Completed,3,3,0,0,200,90,0.56,
75Z9ZFIZ___.pdf,75Z9ZFIZ___.pdf,Completed,7,7,0,0,200,90,5.97,
764MBRWQ__Lifshutz - 2013 - Latest In Pop Art.pdf,764MBRWQ__Lifshutz - 2013 - Latest In Pop Art.pdf,Completed,2,2,0,0,200,90,0.39,
77SXE84Y__Kim - 2020 - Ron English Unveils Silver 'Temper Tot' Sculpture(3).pdf,77SXE84Y__Kim - 2020 - Ron English Unveils Silver 'Temper Tot' Sculpture(3).pdf,Completed,1,1,0,0,200,90,0.24,
77XWDFZ5__Rushmore - 2010 - Ron English paints Homer Simpson.pdf,77XWDFZ5__Rushmore - 2010 - Ron English paints Homer Simpson.pdf,Completed,1,1,0,0,200,90,0.21,
77Y5YZ7Q__Portrait Howdy Neighbor Couch - Unknown - Ron English -Artist´s Studio.pdf,77Y5YZ7Q__Portrait Howdy Neighbor Couch - Unknown - Ron English -Artist´s Studio.pdf,Completed,1,1,0,0,200,90,0.24,
78AZQW9C___.pdf,78AZQW9C___.pdf,Completed,6,6,0,0,200,90,1.86,
78BFYAYL__English - 2016 - Ron English通过现代艺术再现毕加索经典画作《Guernica》.pdf,78BFYAYL__English - 2016 - Ron English通过现代艺术再现毕加索经典画作《Guernica》.pdf,Completed,2,2,0,0,200,90,0.59,
7AJNVIH5__Brooklyn Street Art - 2012 - “The Streets Of The World” Converge At Opera Gallery Tonight”.pdf,7AJNVIH5__Brooklyn Street Art - 2012 - “The Streets Of The World” Converge At Opera Gallery Tonight”.pdf,Completed,1,1,0,0,200,90,0.25,
7BD62PBJ___.pdf,7BD62PBJ___.pdf,Completed,1,1,0,0,200,90,0.45,
7DL6C9QC__Absolut - 1991 - Absolut Ad.pdf,7DL6C9QC__Absolut - 1991 - Absolut Ad.pdf,Completed,2,2,0,0,200,90,0.76,
7DZME32Z__EV Grieve - 2020 - Bowery-based gallery hosting online 'Collect For C.pdf,7DZME32Z__EV Grieve - 2020 - Bowery-based gallery hosting online 'Collect For C.pdf,Completed,8,8,0,0,200,90,2.11,
7GFZM4I6___.pdf,7GFZM4I6___.pdf,Completed,2,2,0,0,200,90,0.38,
7IJUKLQC__The Watch CO - 2017 - TOYBOX Exhibit by Ron English is Coming to Los Angeles.pdf,7IJUKLQC__The Watch CO - 2017 - TOYBOX Exhibit by Ron English is Coming to Los Angeles.pdf,Completed,1,1,0,0,200,90,0.27,
7IZNLY9P__Westall - 2010 - Ron English “Status Factory” Exhibition(2).pdf,7IZNLY9P__Westall - 2010 - Ron English “Status Factory” Exhibition(2).pdf,Completed,3,3,0,0,200,90,0.79,
7J55YDDM__Huacuz - 2018 - Urban Nation el arte como arquitecto social.pdf,7J55YDDM__Huacuz - 2018 - Urban Nation el arte como arquitecto social.pdf,Completed,1,1,0,0,200,90,0.23,
7KBSXZ6W__Artsy - 2008 - Ron English.pdf,7KBSXZ6W__Artsy - 2008 - Ron English.pdf,Completed,26,26,0,0,200,90,5.78,
7KEW8XUB__AFineLyne - 2018 - Ron English returns to Allouche Gallery with Delusionville.pdf,7KEW8XUB__AFineLyne - 2018 - Ron English returns to Allouche Gallery with Delusionville.pdf,Completed,2,2,0,0,200,90,0.49,
7LFQ4QHS__Dansby - 2006 - ART High Crimes and Missed Demeanors.pdf,7LFQ4QHS__Dansby - 2006 - ART High Crimes and Missed Demeanors.pdf,Completed,2,2,0,0,200,90,0.77,
7LSA89YM___.pdf,7LSA89YM___.pdf,Completed,1,1,0,0,200,90,0.38,
7MGUC72S__conz - 2018 - For the last two years I followed Street Artist Ron English for a documentary about his life. I thin.pdf,7MGUC72S__conz - 2018 - For the last two years I followed Street Artist Ron English for a documentary about his life. I thin.pdf,Completed,6,6,0,0,200,90,1.2,
"7N592PBN__A Esthetica Magazine - 2011 - Postmodernist Appropriation, Ron English Skin Deep, Lazarides Gallery, London(2).pdf","7N592PBN__A Esthetica Magazine - 2011 - Postmodernist Appropriation, Ron English Skin Deep, Lazarides Gallery, London(2).pdf",Completed,2,2,0,0,200,90,0.49,
7NSKTFAE__English - Unknown - Photo - Trompe l'oeil - Poker.pdf,7NSKTFAE__English - Unknown - Photo - Trompe l'oeil - Poker.pdf,Completed,1,1,0,0,200,90,0.68,
7PH27CX5__Jack - 2019 - The Opening Of Ron English’s ‘English Translation Series’ In Shenzhen.pdf,7PH27CX5__Jack - 2019 - The Opening Of Ron English’s ‘English Translation Series’ In Shenzhen.pdf,Completed,13,13,0,0,200,90,3.74,
"7RQXQQB4__Juxtapoz - 2020 - Daniel Johnston January 22, 1961 – September 11, 2019.pdf","7RQXQQB4__Juxtapoz - 2020 - Daniel Johnston January 22, 1961 – September 11, 2019.pdf",Completed,3,3,0,0,200,90,0.72,
7RSIPR3Z__Joyce - 1998 - Art Form or Commercial Sabotage.pdf,7RSIPR3Z__Joyce - 1998 - Art Form or Commercial Sabotage.pdf,Completed,1,1,0,0,200,90,0.31,
7S6RU488__PoPaganda - 2011 - Who is Ron English.pdf,7S6RU488__PoPaganda - 2011 - Who is Ron English.pdf,Completed,7,7,0,0,200,90,2.59,
7T3JPNJA__Macarron - ALLOUCHE GALLERY OPENS NEW MEATPACKING DISTRICT SPACE.pdf,7T3JPNJA__Macarron - ALLOUCHE GALLERY OPENS NEW MEATPACKING DISTRICT SPACE.pdf,Completed,3,3,0,0,200,90,0.78,
7TCCD3FM__Gpen - 2017 - Ron English Toybox America In The Visuals One.pdf,7TCCD3FM__Gpen - 2017 - Ron English Toybox America In The Visuals One.pdf,Completed,16,16,0,0,200,90,4.45,
7THTGMYD__Entertainment Weekly - 1997 - Illustraition - Ron English.pdf,7THTGMYD__Entertainment Weekly - 1997 - Illustraition - Ron English.pdf,Completed,2,2,0,0,200,90,1.03,
7UTP5Q9Z___.pdf,7UTP5Q9Z___.pdf,Completed,1,1,0,0,200,90,0.37,
7V4LFAB3__Yang - 2019 - English's artworks debut in SZ.pdf,7V4LFAB3__Yang - 2019 - English's artworks debut in SZ.pdf,Completed,2,2,0,0,200,90,0.36,
7VSR3MLG__Zephyr - 2001 - English 101 - While we were sleeping.pdf,7VSR3MLG__Zephyr - 2001 - English 101 - While we were sleeping.pdf,Completed,2,2,0,0,200,90,1.35,
7Y8DZ9I9___.pdf,7Y8DZ9I9___.pdf,Completed,3,3,0,0,200,90,2.19,
"7YA928TY__BradCTucker - 2017 - Street Artist Ron English on “Toybox America in the visuals”, embracing your inner childhood.pdf","7YA928TY__BradCTucker - 2017 - Street Artist Ron English on “Toybox America in the visuals”, embracing your inner childhood.pdf",Completed,6,6,0,0,200,90,1.37,
7YB3HCKQ__The Worley Gig - 2016 - Corey Helford Gallery Presents Ron English’s NeoNature Exhibit at New Space in Downtown LA!.pdf,7YB3HCKQ__The Worley Gig - 2016 - Corey Helford Gallery Presents Ron English’s NeoNature Exhibit at New Space in Downtown LA!.pdf,Completed,9,9,0,0,200,90,2.28,
7YWGACB9__Zuriaga - 2018 - Ron English regresa en su exposición Deslusionville.pdf,7YWGACB9__Zuriaga - 2018 - Ron English regresa en su exposición Deslusionville.pdf,Completed,4,4,0,0,200,90,0.99,
7ZSMXQGZ__Corey Helford Gallery - 2015 - Brown Acid Trip By Ron English.pdf,7ZSMXQGZ__Corey Helford Gallery - 2015 - Brown Acid Trip By Ron English.pdf,Completed,1,1,0,0,200,90,0.21,
7ZX28M4Q__Sleepboy - 2016 - SDCC ’16 South Park 20th Anniversary Art Show.pdf,7ZX28M4Q__Sleepboy - 2016 - SDCC ’16 South Park 20th Anniversary Art Show.pdf,Completed,5,5,0,0,200,90,1.54,
8226XJR2__Juxtapoz - 2018 - Matthew Namour Gallery Opens a New Group Show With Ron English and More.pdf,8226XJR2__Juxtapoz - 2018 - Matthew Namour Gallery Opens a New Group Show With Ron English and More.pdf,Completed,1,1,0,0,200,90,0.2,
829EYZIJ__Goh - 2012 - Ron English “Crucial Fiction” Exhibition @ Opera Gallery.pdf,829EYZIJ__Goh - 2012 - Ron English “Crucial Fiction” Exhibition @ Opera Gallery.pdf,Completed,1,1,0,0,200,90,0.29,
82SNK2VW__Mullan - 2016 - Corpocracy Engaged Art In Practice.pdf,82SNK2VW__Mullan - 2016 - Corpocracy Engaged Art In Practice.pdf,Completed,8,8,0,0,200,90,1.96,
83YPPYH8___.pdf,83YPPYH8___.pdf,Completed,2,2,0,0,200,90,1.38,
847MGQSZ__TrustPigs - 2013 - Available Now Ron English's Big Boner original sketch!!!.pdf,847MGQSZ__TrustPigs - 2013 - Available Now Ron English's Big Boner original sketch!!!.pdf,Completed,1,1,0,0,200,90,0.21,
84UHA573__Beale - 2009 - New Paintings by Ron English Nimbus Vapor Street Art Exhibit in NYC.pdf,84UHA573__Beale - 2009 - New Paintings by Ron English Nimbus Vapor Street Art Exhibit in NYC.pdf,Completed,2,2,0,0,200,90,0.46,
854PXHDV__Estiler - 2018 - Immerse Yourself in Ron English's Chaotic Delusionville Exhibition.pdf,854PXHDV__Estiler - 2018 - Immerse Yourself in Ron English's Chaotic Delusionville Exhibition.pdf,Completed,21,21,0,0,200,90,5.13,
866QGWP5___.pdf,866QGWP5___.pdf,Completed,2,2,0,0,200,90,1.0,
873M6B8T___.pdf,873M6B8T___.pdf,Completed,5,5,0,0,200,90,2.81,
87CSJ334___.pdf,87CSJ334___.pdf,Completed,4,4,0,0,200,90,0.82,
87Q2R366__El Correo - 2021 - Ron English presenta la exposición 'Reimaginando el Guernica'.pdf,87Q2R366__El Correo - 2021 - Ron English presenta la exposición 'Reimaginando el Guernica'.pdf,Completed,1,1,0,0,200,90,0.29,
8A4F27LD__Pereira - 2016 - Ron English Paintings of Guernica Finally in an Exhibition in NY.pdf,8A4F27LD__Pereira - 2016 - Ron English Paintings of Guernica Finally in an Exhibition in NY.pdf,Completed,1,1,0,0,200,90,0.24,
8AUUC6S7___.pdf,8AUUC6S7___.pdf,Completed,1,1,0,0,200,90,0.55,
8CZYK2UY___.pdf,8CZYK2UY___.pdf,Completed,2,2,0,0,200,90,0.95,
"8DAQXV4J__Glentzer - 2016 - Exhibit of works by activist artists is subversive, thoughtful, hilarious.pdf","8DAQXV4J__Glentzer - 2016 - Exhibit of works by activist artists is subversive, thoughtful, hilarious.pdf",Completed,1,1,0,0,200,90,0.25,
8E95S4PK___.pdf,8E95S4PK___.pdf,Completed,6,6,0,0,200,90,4.18,
8F7AUWEW__Very Nearly Almost - 2015 - Ron English – Sketchbox – Mini Interview.pdf,8F7AUWEW__Very Nearly Almost - 2015 - Ron English – Sketchbox – Mini Interview.pdf,Completed,5,5,0,0,200,90,1.15,
8FNI3WYE___.pdf,8FNI3WYE___.pdf,Completed,1,1,0,0,200,90,0.12,
8FSHHYSC__Juxtapoz - 2019 - Mojo Voodoo & Heavy Metal Muzick Ron English Brings Some Pop to New Orleans.pdf,8FSHHYSC__Juxtapoz - 2019 - Mojo Voodoo & Heavy Metal Muzick Ron English Brings Some Pop to New Orleans.pdf,Completed,2,2,0,0,200,90,0.52,
"8G9SRSR5__20 minutos - 2016 - 'Azúcar alto', el arte grotesco de Ron English.pdf","8G9SRSR5__20 minutos - 2016 - 'Azúcar alto', el arte grotesco de Ron English.pdf",Completed,6,6,0,0,200,90,1.45,
8GGDVRUN__Tokyo International Art Fair - 2019 - Tokyo International Art Fair.pdf,8GGDVRUN__Tokyo International Art Fair - 2019 - Tokyo International Art Fair.pdf,Completed,2,2,0,0,200,90,0.42,
8GLPYL6M__The Philippine Star - 2015 - A night for the arts.pdf,8GLPYL6M__The Philippine Star - 2015 - A night for the arts.pdf,Completed,1,1,0,0,200,90,0.81,
8J4K6FWJ__The Star Ledger feb 14 1997 Satiric look at religious images .pdf,8J4K6FWJ__The Star Ledger feb 14 1997 Satiric look at religious images .pdf,Completed,1,1,0,0,200,90,0.29,
8KGJYACL__Beale - 2010 - Ron English Painting Homer Simpson as Jackson Pollock.pdf,8KGJYACL__Beale - 2010 - Ron English Painting Homer Simpson as Jackson Pollock.pdf,Completed,1,1,0,0,200,90,0.38,
8KLMYT2B___.pdf,8KLMYT2B___.pdf,Completed,2,2,0,0,200,90,0.96,
"8KMBDWDQ__Celdrán - 2012 - Un avión convertido en calavera, Teletubbies macabros, banderas de EE UU modificadas.pdf","8KMBDWDQ__Celdrán - 2012 - Un avión convertido en calavera, Teletubbies macabros, banderas de EE UU modificadas.pdf",Completed,1,1,0,0,200,90,0.28,
8KPIIZMV__Invisiblemadevisible @imv_streetart - 2011 - Ron English — Grade School Guernica Print.pdf,8KPIIZMV__Invisiblemadevisible @imv_streetart - 2011 - Ron English — Grade School Guernica Print.pdf,Completed,1,1,0,0,200,90,0.22,
8KYDTZE6___.pdf,8KYDTZE6___.pdf,Completed,2,2,0,0,200,90,0.45,
8MRIR8QW__Go Green Machine - 2012 - “Ninja Chillin’ ” By Ron English (( 2012 )).pdf,8MRIR8QW__Go Green Machine - 2012 - “Ninja Chillin’ ” By Ron English (( 2012 )).pdf,Completed,2,2,0,0,200,90,0.44,
8MW9HAXS___.pdf,8MW9HAXS___.pdf,Completed,2,2,0,0,200,90,0.74,
8QTJQGH4__Wong - 1992 - Ron English Speaks a Language all his Own - Copy.pdf,8QTJQGH4__Wong - 1992 - Ron English Speaks a Language all his Own - Copy.pdf,Completed,3,3,0,0,200,90,1.42,
8SWZEIMW__Rosenzweig - 2009 - Ron English's Immortal Underground Exhibit Opens At Opera.pdf,8SWZEIMW__Rosenzweig - 2009 - Ron English's Immortal Underground Exhibit Opens At Opera.pdf,Completed,5,5,0,0,200,90,1.16,
8SXHFDBM__Vidal - 2016 - Ron English.pdf,8SXHFDBM__Vidal - 2016 - Ron English.pdf,Completed,8,8,0,0,200,90,1.78,
8TEUAJJJ__Allouche Gallery - 2016 - Ron English  Guernica.pdf,8TEUAJJJ__Allouche Gallery - 2016 - Ron English  Guernica.pdf,Completed,20,20,0,0,200,90,5.18,
8VJK846N___.pdf,8VJK846N___.pdf,Completed,6,6,0,0,200,90,4.9,
8W54LGSW__Juxtapoz - 2014 - Art Truancy—20 Years of Cover Artists.pdf,8W54LGSW__Juxtapoz - 2014 - Art Truancy—20 Years of Cover Artists.pdf,Completed,2,2,0,0,200,90,0.49,
8WT6E2G4__Huacuz - 2020 - Ron English – POPaganda On Paper.pdf,8WT6E2G4__Huacuz - 2020 - Ron English – POPaganda On Paper.pdf,Completed,3,3,0,0,200,90,0.75,
8WUMKS2X___.pdf,8WUMKS2X___.pdf,Completed,2,2,0,0,200,90,0.13,
8XJI9JJL__Ruano - 2009 - Ron English Lazarus Rising Exhibition.pdf,8XJI9JJL__Ruano - 2009 - Ron English Lazarus Rising Exhibition.pdf,Completed,3,3,0,0,200,90,0.71,
